file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,my_corpus,-46.57879173251679,-47.235304274526584,5.182411023392271,8.074596967488477
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,my_corpus,-43.72650173611111,-53.23261378361629,3.849207947413103,11.443148868500742
F2BJRLP3,0.0,30.7068125,my_corpus,-46.87707078313253,-47.458919779459634,3.6155335001663906,10.393460122869257
F2BJRLP2,0.0,28.6474375,my_corpus,-45.835672993019195,-46.079571155401375,3.2546952312791575,8.030368991700813
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,my_corpus,-43.25043980780872,-53.18682043892996,2.687683401986431,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,my_corpus,-44.543552673969074,-49.890716870625816,2.579553948678011,12.358243745435463
