file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP3,0.0,30.7068125,my_corpus,-46.54231622435689,-46.87397341395533,4.477975741392931,10.391513997127106
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,my_corpus,-43.7388671875,-53.55524004422701,3.838776972082681,11.443148868500742
F2BJRLP1,0.0,25.309125,my_corpus,-45.81325007408139,-45.86920239164838,3.7727068024287895,8.143302997890473
F2BJRLP2,0.0,28.6474375,my_corpus,-45.7398287521815,-45.746786757478496,3.5488620022447472,7.983564690353116
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,my_corpus,-43.25069518008475,-52.38535602276142,2.6848076363399906,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,my_corpus,-44.827294418492265,-50.976524670918785,2.549560355308706,12.358243745435463
