file,before_spn_count,after_spn_count,delta_spn,percent_spn_reduction,n_fixed_words,fixed_words,num_words_before,num_words_after,num_phones_before,num_phones_after,before_overall_log_likelihood,after_overall_log_likelihood,delta_overall_log_likelihood,before_speech_log_likelihood,after_speech_log_likelihood,delta_speech_log_likelihood,before_phone_duration_deviation,after_phone_duration_deviation,delta_phone_duration_deviation,before_snr,after_snr,delta_snr
F2BJRLP1,3,0,-3,100.0,2,dukakis;melnicove,70,70,284,295,-45.81325007408139,-46.57879173251679,-0.7655416584354029,-45.86920239164838,-47.235304274526584,-1.3661018828782048,3.7727068024287895,5.182411023392271,1.4097042209634818,8.143302997890473,8.074596967488477,-0.06870603040199619
F2BJRLP2,4,2,-2,50.0,2,dukakis;maffy,72,71,313,317,-45.7398287521815,-45.835672993019195,-0.0958442408376925,-45.746786757478496,-46.079571155401375,-0.33278439792287884,3.5488620022447472,3.2546952312791575,-0.29416677096558974,7.983564690353116,8.030368991700813,0.046804301347696864
F2BJRLP3,3,3,0,0.0,0,,79,79,349,349,-46.54231622435689,-46.87707078313253,-0.33475455877564286,-46.87397341395533,-47.458919779459634,-0.584946365504301,4.477975741392931,3.6155335001663906,-0.8624422412265402,10.391513997127106,10.393460122869257,0.001946125742151139
ISLE_SESS0131_BLOCKD02_01_sprt1,0,0,0,0.0,0,,5,5,13,14,-43.25069518008475,-43.25043980780872,0.00025537227602967505,-52.38535602276142,-53.18682043892996,-0.8014644161685425,2.6848076363399906,2.687683401986431,0.0028757656464404313,11.85118774544399,11.85118774544399,0.0
ISLE_SESS0131_BLOCKD02_02_sprt1,0,0,0,0.0,0,,5,5,12,12,-44.827294418492265,-44.543552673969074,0.2837417445231907,-50.976524670918785,-49.890716870625816,1.0858078002929688,2.549560355308706,2.579553948678011,0.02999359336930496,12.358243745435463,12.358243745435463,0.0
ISLE_SESS0131_BLOCKD02_03_sprt1,0,0,0,0.0,0,,5,5,13,13,-43.7388671875,-43.72650173611111,0.012365451388888005,-53.55524004422701,-53.23261378361629,0.3226262606107255,3.838776972082681,3.849207947413103,0.010430975330421699,11.443148868500742,11.443148868500742,0.0
